Metal,ICOHP,ICOOP,ICOBI
Ag,-0.22016,-0.02244,0.04971
Au,-0.28246,-0.06107,0.05205
Cd,-0.03215,-0.25475,0.00173
Co,-0.56061,-0.14286,0.17961
Cr,-1.19864,0.06750,0.46339
Cu,-0.23790,-0.11237,0.04691
Fe,-0.78285,-0.15335,0.28162
Hf,-1.17710,-0.00211,0.33307
Ir,-0.84010,-0.07919,0.18142
Lu,-1.60930,-0.29995,0.26733
Mn,-0.86386,-0.15212,0.31560
Mo,-1.54180,0.11919,0.46889
Nb,-2.20629,-0.09705,0.44672
Ni,-0.40508,-0.09659,0.10207
Os,-1.22139,-0.07394,0.28356
Pd,-0.43003,0.01288,0.09610
Pt,-0.59337,-0.07220,0.11259
Re,-1.36091,-0.04299,0.32277
Rh,-0.65025,-0.04155,0.15999
Ru,-0.96853,-0.01415,0.25909
Sc,-0.55123,-0.09846,0.24161
Ta,-1.63305,0.08039,0.41518
Tc,-1.20269,-0.01158,0.33292
Ti,-0.76880,-0.10901,0.32182
V,-1.89639,0.23380,0.69113
W,-1.77853,0.07812,0.46457
Y,-1.03377,-0.12123,0.27073
Zn,-0.03917,-0.31444,0.00183
Zr,-1.40950,-0.22108,0.33356
